Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,Year,New Average Prices
9189,The Surge,Action,M,PS4,Focus Home Interactive,DECK13 Interactive,,0.19,2017.0,24.745
9264,Bendy and the Ink Machine,Puzzle,T,PS4,Rooster Teeth Games,TheMeatly Games,,0.18,2018.0,25.529999999999998
9576,Mega Man 11,Platform,,PS4,Capcom,Capcom,,0.17,2018.0,21.125
9597,Resident Evil 6,Shooter,M,PS4,Capcom,Capcom,,0.17,2016.0,28.865000000000002
9647,Final Fantasy XIV: Stormblood,MMO,T,PS4,Square Enix,Square Enix,,0.17,2017.0,10.0
9661,Just Dance 2019,Music,E,PS4,Ubisoft,Ubisoft Paris,,0.17,2018.0,25.11
9665,Guilty Gear Xrd: Sign,Fighting,T,PS4,Aksys Games,Arc System Works,,0.17,2014.0,19.89
9698,BlazBlue: Central Fiction,Fighting,T,PS4,Aksys Games,Arc System Works,,0.17,2016.0,33.5
9820,Ride 2,Racing,E,PS4,Milestone S.r.l,Milestone S.r.l.,,0.16,2017.0,32.565
9848,Putty Squad,Platform,E10,PS4,System 3,System 3,,0.16,2013.0,11.26
9918,Naruto Shippuden: Ultimate Ninja Storm Legacy,Fighting,,PS4,Namco Bandai Games,CyberConnect2,,0.16,2017.0,273.515
9924,Berserk and the Band of the Hawk,Action,M,PS4,Tecmo Koei,Omega Force,,0.16,2017.0,108.75
9957,BlazBlue: Chrono Phantasma Extend,Fighting,T,PS4,Aksys Games,Arc System Works,,0.16,2015.0,45.72
10032,Valkyria Revolution,Role-Playing,T,PS4,Sega,Media.Vision,,0.16,2017.0,21.17
10113,Gravity Rush Remastered,Action-Adventure,T,PS4,Sony Computer Entertainment,Bluepoint Games,7.9,0.16,2016.0,184.89
10322,Atelier Sophie: The Alchemist of the Mysterious Book,Role-Playing,T,PS4,Tecmo Koei,Gust,,0.15,2016.0,61.25
10364,NASCAR Heat Evolution,Racing,,PS4,Dusenberry Martin Racing,Monster Games,,0.15,2016.0,31.125
10410,Dragon Quest Builders 2,Adventure,RP,PS4,Square Enix,Square Enix,,0.15,2019.0,15.59
10419,Toukiden 2,Action,T,PS4,Tecmo Koei,Omega Force,,0.15,2017.0,49.95
10433,Song of the Deep,Action,,PS4,Insomniac Games,Insomniac Games,,0.15,2016.0,36.735
10538,Cyberdimension Neptunia: 4 Goddesses Online,Role-Playing,T,PS4,Idea Factory International,Compile Heart,,0.14,2017.0,44.0
10545,Grand Kingdom,Role-Playing,T,PS4,NIS America,Monochrome Corporation,,0.14,2016.0,22.25
10684,We Happy Few,Action-Adventure,M,PS4,Gearbox Software,Compulsion Games,,0.14,2018.0,14.15
10685,Rocksmith 2014 Edition Remastered,Music,T,PS4,Ubisoft,Ubisoft,,0.14,2016.0,67.555
10760,MXGP 2,Racing,E,PS4,Milestone S.r.l,Milestone S.r.l.,,0.14,2016.0,25.125
10810,MotoGP 17,Racing,E,PS4,Koch Media,Milestone S.r.l.,,0.14,2017.0,18.605
10894,Samurai Warriors 4-II,Action,T,PS4,Tecmo Koei,Omega Force,,0.13,2015.0,35.55
10925,Hatsune Miku: Project Diva X,Music,T,PS4,Sega,Sega,,0.13,2016.0,44.66
10926,New Gundam Breaker,Action,,PS4,Namco Bandai Games,Bandai Namco Games,2.8,0.13,2018.0,14.87
11019,NASCAR Heat 2,Racing,E,PS4,704Games,Monster Games,,0.13,2017.0,29.41
11044,Bulletstorm: Full Clip Edition,Shooter,M,PS4,Gearbox Software,People Can Fly,,0.13,2017.0,23.865
11103,Golf Club 2,Sports,E,PS4,Maximum Games,HB Studios,,0.13,2017.0,32.925
11127,Persona Dancing: Endless Night Collection,Music,,PS4,Atlus,Atlus,,0.13,2018.0,68.88
11133,Akiba's Trip: Undead & Undressed,Action,M,PS4,Xseed Games,Acquire,,0.13,2014.0,41.0
11134,NASCAR Heat 3,Racing,,PS4,704Games,Monster Games,,0.13,2018.0,24.544999999999998
11143,Rugby 15,Sports,EC,PS4,Maximum Games,HB Studios,,0.13,2015.0,12.81
11185,Utawarerumono: Mask of Truth,Visual Novel,M,PS4,Atlus,Aqua Plus,,0.13,2017.0,29.99
11229,Utawarerumono: Mask of Deception,Adventure,,PS4,Atlus,Aqua Plus,,0.13,2017.0,48.76
11266,MX vs ATV All Out,Racing,E10,PS4,THQ Nordic,Rainbow Studios,,0.12,2018.0,25.06
11279,Dragon's Crown Pro,Role-Playing,,PS4,Atlus,Vanillaware,,0.12,2018.0,21.23
11367,Job Simulator,Simulation,E10,PS4,Sony Interactive Entertainment,Owlchemy Labs,,0.12,2017.0,169.5
11376,Portal Knights,Role-Playing,E10,PS4,505 Games,Keen Games,,0.12,2017.0,23.18
11384,Fire Pro Wrestling World,Fighting,T,PS4,Spike Chunsoft,Spike Chunsoft,,0.12,2018.0,39.75
11386,Fate/Extella Link,Action,T,PS4,Xseed Games,Marvelous,,0.12,2019.0,42.33
11479,Call of Cthulhu,Role-Playing,M,PS4,Focus Home Interactive,Cyanide,,0.12,2018.0,26.459999999999997
11486,Danganronpa 1-2 Reload,Adventure,M,PS4,NIS America,Spike Chunsoft,,0.12,2017.0,65.0
11521,Subnautica,Adventure,,PS4,Gearbox Software,Unknown Worlds Entertainment,,0.12,2018.0,30.42
11678,Digimon Story: Cyber Sleuth,Role-Playing,,PS4,Namco Bandai Games,Media.Vision,,0.11,2016.0,34.32
11752,Darksiders: Warmastered Edition,Action-Adventure,M,PS4,THQ Nordic,Kaiko,,0.11,2016.0,30.9
11772,Mighty No. 9,Platform,E10,PS4,Deep Silver,Comcept,,0.11,2016.0,11.504999999999999
11949,Earth Defense Force 4.1: The Shadow of New Despair,Shooter,M,PS4,Xseed Games,Sandlot,,0.11,2015.0,18.27
12101,Assassin's Creed Chronicles,Action,T,PS4,Ubisoft,Climax Studios,,0.11,2016.0,28.53
12178,Slime Rancher,Simulation,E10,PS4,Skybound Games,Monomi Park,,0.1,2018.0,32.955
12189,Pac-Man Championship Edition 2 + Arcade Game Series,Action,E,PS4,Namco Bandai Games,Namco Bandai Games,,0.1,2017.0,24.86
12276,Romance of the Three Kingdoms XIII,Action,E10,PS4,Tecmo Koei,Koei Tecmo Games,,0.1,2016.0,35.25
12312,Warriors All-Stars,Action,T,PS4,Tecmo Koei,Omega Force,,0.1,2017.0,20.53
12329,Starlink: Battle for Atlas,Action-Adventure,E10,PS4,Ubisoft,Ubisoft Toronto,,0.1,2018.0,10.0
12332,Mega Man Legacy Collection 2,Action,E10,PS4,Capcom,Capcom,,0.1,2017.0,23.205
12389,Final Fantasy XIV Online Complete Edition,MMO,T,PS4,Square Enix,Square Enix,,0.1,2017.0,25.79
12392,Puyo Puyo Tetris,Puzzle,E,PS4,Sega,Sonic Team,,0.1,2017.0,17.91
12414,Sudden Strike 4,Strategy,T,PS4,Kalypso Media,Kite Games,,0.1,2017.0,21.03
