Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
32314,Godzilla (2014),godzilla-2014,Action,,PS4,Namco Bandai Games,Namco Bandai Games,,,,,,,,,,2015,,http://www.vgchartz.com/game/85434/godzilla-2014/?region=All,1,,/games/boxart/full_1954549AmericaFrontccc.jpg
32398,Gone Home,gone-home,Adventure,M,PS4,Majesco Entertainment,The Fullbright Company,,,,,,,,,,2016,22nd Jan 18,http://www.vgchartz.com/game/86258/gone-home/?region=All,1,,/games/boxart/full_4055981AmericaFrontccc.jpg
32642,Grow Home,grow-home,Platform,,PS4,Ubisoft,Ubisoft Reflections,,,,,,,,,,2015,,http://www.vgchartz.com/game/85915/grow-home/?region=All,1,,/games/boxart/default.jpg
32667,Guacamelee!,guacamelee,Action,E10,PS4,DrinkBox Studios,DrinkBox Studios,,,,,,,,,,2014,07th Aug 18,http://www.vgchartz.com/game/79581/guacamelee/?region=All,1,,/games/boxart/full_8890792AmericaFrontccc.jpg
32675,Guardian Knight,guardian-knight,Misc,,PS4,Defiant Development,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/80564/guardian-knight/?region=All,1,,/games/boxart/default.jpg
32825,H-Hour: World's Elite,h-hour-worlds-elite,Misc,,PS4,Infogrammes Studios,Unknown,,,,,,,,,,2016,,http://www.vgchartz.com/game/77117/h-hour-worlds-elite/?region=All,1,,/games/boxart/default.jpg
32830,H1Z1: Battle Royale,h1z1-battle-royale,Shooter,,PS4,Daybreak Games,Daybreak Games,,,,,,,,,,2018,15th Sep 18,http://www.vgchartz.com/game/81097/h1z1-battle-royale/?region=All,1,,/games/boxart/full_6117981AmericaFrontccc.jpeg
33062,Hardware: Rivals,hardware-rivals,Action,E10,PS4,Sony Computer Entertainment,SCE Connected Content Group,,,,,,,,,,2016,20th Apr 18,http://www.vgchartz.com/game/86358/hardware-rivals/?region=All,1,,/games/boxart/full_6861132AmericaFrontccc.jpg
33120,Hasbro Family Fun Pack,hasbro-family-fun-pack,Misc,E10,PS4,Ubisoft,Ubisoft,,,,,,,,,,2015,19th Jun 18,http://www.vgchartz.com/game/86188/hasbro-family-fun-pack/?region=All,1,,/games/boxart/full_1731665AmericaFrontccc.jpg
33148,Hatsune Miku: Project Diva Future Tone,hatsune-miku-project-diva-future-tone,Music,,PS4,Sega,Sega,,,,,,,,,,2017,21st Sep 18,http://www.vgchartz.com/game/85921/hatsune-miku-project-diva-future-tone/?region=All,1,,/games/boxart/full_8134400AmericaFrontccc.jpg
33150,Hatsune Miku: VR Future Live,hatsune-miku-vr-future-live,Music,,PS4,Sega,Sega,,,,,,,,,,2016,08th Apr 18,http://www.vgchartz.com/game/137625/hatsune-miku-vr-future-live/?region=All,1,,/games/boxart/default.jpg
33237,Heavy Rain,heavy-rain,Adventure,,PS4,Sony Computer Entertainment,Quantic Dream,,,,,,,,,,2016,,http://www.vgchartz.com/game/86415/heavy-rain/?region=All,1,,/games/boxart/full_4611206AmericaFrontccc.jpg
33312,Helldivers,helldivers,Action,T,PS4,Sony Computer Entertainment,Arrowhead Game Studios,,8.7,,,,,,,,2015,15th Apr 18,http://www.vgchartz.com/game/78902/helldivers/?region=All,1,,/games/boxart/full_6775222AmericaFrontccc.jpg
33351,Hellraid,hellraid,Misc,,PS4,Techland,Unknown,,,,,,,,,,2016,,http://www.vgchartz.com/game/81666/hellraid/?region=All,1,,/games/boxart/default.jpg
33604,Hitman GO,hitman-go,Puzzle,,PS4,Square Enix,Square Enix,,,,,,,,,,2016,,http://www.vgchartz.com/game/87783/hitman-go/?region=All,1,,/games/boxart/default.jpg
33629,Hohokum,hohokum,Adventure,,PS4,Sony Computer Entertainment,Honeyslug,,,,,,,,,,2014,14th Sep 18,http://www.vgchartz.com/game/72157/hohokum/?region=All,1,,/games/boxart/full_436195AmericaFrontccc.jpg
33650,Hollowpoint,hollowpoint,Action,,PS4,Ruffian Games,Ruffian Games,,,,,,,,,,2016,,http://www.vgchartz.com/game/84195/hollowpoint/?region=All,1,,/games/boxart/full_4836176AmericaFrontccc.jpg
33657,Home - a Unique Horror Adventure,home-a-unique-horror-adventure,Misc,,PS4,Benjamin Rivers Inc.,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/80083/home-a-unique-horror-adventure/?region=All,1,,/games/boxart/default.jpg
33789,Hotline Miami,hotline-miami,Action,,PS4,Devolver Digital,Dennaton Games,,,,,,,,,,2015,01st Feb 19,http://www.vgchartz.com/game/81076/hotline-miami/?region=All,1,,/games/boxart/full_4352552AmericaFrontccc.png
33792,Hotline Miami 2: Wrong Number,hotline-miami-2-wrong-number,Misc,,PS4,Devolver Digital,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/81166/hotline-miami-2-wrong-number/?region=All,1,,/games/boxart/default.jpg
33845,Human Element,human-element,Misc,,PS4,Unknown,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/71726/human-element/?region=All,1,,/games/boxart/default.jpg
33937,I Am Bread,i-am-bread,Simulation,E10,PS4,Bossa Studios,Bossa Studios,,,,,,,,,,2015,11th Aug 18,http://www.vgchartz.com/game/85879/i-am-bread/?region=All,1,,/games/boxart/full_7906238AmericaFrontccc.jpg
34113,In Space We Brawl,in-space-we-brawl,Shooter,,PS4,Unknown,Unknown,,,,,,,,,,2016,,http://www.vgchartz.com/game/84198/in-space-we-brawl/?region=All,1,,/games/boxart/full_6034353AmericaFrontccc.jpg
34161,Industry Giant II,industry-giant-ii,Strategy,E,PS4,UIG Entertainment,"Reactor, Inc.",,,,,,,,,,2017,21st Sep 18,http://www.vgchartz.com/game/161260/industry-giant-ii/?region=All,1,,/games/boxart/full_5525554AmericaFrontccc.jpg
34230,Inside,inside,Platform,M,PS4,Playdead,Playdead,,9,,,,,,,,2016,31st Mar 18,http://www.vgchartz.com/game/82993/inside/?region=All,1,,/games/boxart/full_6958725AmericaFrontccc.jpg
34234,Inside My Radio,inside-my-radio,Platform,,PS4,Seaven Studio,Seaven Studio,,,,,,,,,,2020,,http://www.vgchartz.com/game/85250/inside-my-radio/?region=All,1,,/games/boxart/default.jpg
34336,Invokers Tournament,invokers-tournament,Action,,PS4,StormBasic Games,StormBasic Games,,,,,,,,,,2015,,http://www.vgchartz.com/game/84562/invokers-tournament/?region=All,1,,/games/boxart/full_798869AmericaFrontccc.jpg
34368,Iron Harvest,iron-harvest,Strategy,,PS4,Unknown,Unknown,,,,,,,,,,2008,,http://www.vgchartz.com/game/197168/iron-harvest/?region=All,1,,/games/boxart/default.jpg
34387,Ironclad Tactics,ironclad-tactics,Misc,,PS4,Zachtronics Industries,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/81766/ironclad-tactics/?region=All,1,,/games/boxart/default.jpg
34712,Jikkyou Powerful Pro Baseball Success Special,jikkyou-powerful-pro-baseball-success-special,Sports,,PS4,Konami Digital Entertainment,Konami Digital Entertainment,,,,,,,,,,2016,,http://www.vgchartz.com/game/86389/jikkyou-powerful-pro-baseball-success-special/?region=All,1,,/games/boxart/default.jpg
35263,KickBeat,kickbeat,Misc,,PS4,Zen Studios,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/80053/kickbeat/?region=All,1,,/games/boxart/default.jpg
35320,Kill Strain,kill-strain,Shooter,,PS4,Sony Interactive Entertainment,SIE San Diego Studio,,,,,,,,,,2016,17th Sep 18,http://www.vgchartz.com/game/84935/kill-strain/?region=All,1,,/games/boxart/full_5586585AmericaFrontccc.jpg
35327,Killing Bites,killing-bites,Action,,PS4,Unknown,Nex Entertainment,,,,,,,,,,2016,,http://www.vgchartz.com/game/85893/killing-bites/?region=All,1,,/games/boxart/default.jpg
35421,Kingdom Hearts III,kingdom-hearts-iii,Role-Playing,,PS4,Square Enix,Square Enix,,,,,,,,,,2019,22nd Dec 17,http://www.vgchartz.com/game/73114/kingdom-hearts-iii/?region=All,1,8,/games/boxart/full_9966330AmericaFrontccc.jpg
35437,Kingdom Under Fire II,kingdom-under-fire-ii,Misc,,PS4,Unknown,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/80941/kingdom-under-fire-ii/?region=All,1,,/games/boxart/default.jpg
35576,Kodoku,kodoku,Misc,,PS4,Carnivore Studio,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/77648/kodoku/?region=All,1,,/games/boxart/default.jpg
35696,Krinkle Krusher,krinkle-krusher,Strategy,,PS4,Ilusis Interactive Graphics,Ilusis Interactive Graphics,,,,,,,,,,2015,,http://www.vgchartz.com/game/85512/krinkle-krusher/?region=All,1,,/games/boxart/default.jpg
35733,Kung Fu Panda: Showdown of Legendary Legends,kung-fu-panda-showdown-of-legendary-legends,Action,E10,PS4,Little Orbit,Little Orbit,,,,,,,,,,2015,09th Apr 18,http://www.vgchartz.com/game/86328/kung-fu-panda-showdown-of-legendary-legends/?region=All,1,,/games/boxart/full_5975858AmericaFrontccc.jpg
35834,Ladybug Puzzle,ladybug-puzzle,Misc,,PS4,r2 game,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/80634/ladybug-puzzle/?region=All,1,,/games/boxart/default.jpg
36008,Legend of Raven,legend-of-raven,Misc,,PS4,Nicalis,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/77045/legend-of-raven/?region=All,1,,/games/boxart/default.jpg
36269,Loadout,loadout,Shooter,,PS4,Edge of Reality,Edge of Reality,,,,,,,,,,2014,,http://www.vgchartz.com/game/85000/loadout/?region=All,1,,/games/boxart/default.jpg
36705,Magic Duels: Origin,magic-duels-origin,Misc,,PS4,Wizards of the Coast,Wizards of the Coast,,,,,,,,,,2016,,http://www.vgchartz.com/game/85207/magic-duels-origin/?region=All,1,,/games/boxart/default.jpg
36777,Magicka 2,magicka-2,Action,,PS4,Paradox Interactive,Paradox Interactive,,,,,,,,,,2015,,http://www.vgchartz.com/game/82959/magicka-2/?region=All,1,,/games/boxart/full_6859614AmericaFrontccc.jpg
36983,Maniac Mansion: Day of the Tentacle,maniac-mansion-day-of-the-tentacle,Adventure,,PS4,Double Fine Productions,LucasArts,,,,,,,,,,2017,,http://www.vgchartz.com/game/103409/maniac-mansion-day-of-the-tentacle/?region=All,1,,/games/boxart/full_4540594AmericaFrontccc.jpeg
37617,Mercenary Kings,mercenary-kings,Misc,,PS4,Tribute Games,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/73136/mercenary-kings/?region=All,1,,/games/boxart/default.jpg
37715,Metal Slug 3,metal-slug-3,Shooter,,PS4,SNK Playmore,Trigger Apps,,,,,,,,,,2015,,http://www.vgchartz.com/game/84364/metal-slug-3/?region=All,1,,/games/boxart/default.jpg
37753,Metro Exodus,metro-exodus,Shooter,,PS4,Deep Silver,4a-games,,8.5,,,,,,,,2019,01st Jan 18,http://www.vgchartz.com/game/183120/metro-exodus/?region=All,1,,/games/boxart/full_898950AmericaFrontccc.jpg
38238,Monochroma,monochroma,Misc,,PS4,Nowhere Studios,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/76384/monochroma/?region=All,1,,/games/boxart/default.jpg
38370,Moon Hunters,moon-hunters,Action,,PS4,Kitfox Games,Kitfox Games,,,,,,,,,,2016,,http://www.vgchartz.com/game/114753/moon-hunters/?region=All,1,,/games/boxart/default.jpg
38379,Moons Of Madness,moons-of-madness,Role-Playing,,PS4,Unknown,Unknown,,,,,,,,,,2002,,http://www.vgchartz.com/game/196502/moons-of-madness/?region=All,1,,/games/boxart/default.jpg
38495,Mount & Blade: Warband,mount-amp-blade-warband,Role-Playing,,PS4,Taleworlds,Taleworlds,,,,,,,,,,2016,21st Sep 18,http://www.vgchartz.com/game/104766/mount-amp-blade-warband/?region=All,1,,/games/boxart/full_4448635PALFrontccc.jpg
38506,MouseCraft,mousecraft,Misc,,PS4,Unknown,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/81774/mousecraft/?region=All,1,,/games/boxart/default.jpg
38628,Muse: Together Is the New Alone,muse-together-is-the-new-alone,Adventure,,PS4,Pygmy Studio,Pygmy Studio,,,,,,,,,,2020,,http://www.vgchartz.com/game/85783/muse-together-is-the-new-alone/?region=All,1,,/games/boxart/default.jpg
39258,Never Alone,never-alone,Misc,,PS4,E-Line Media,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/82215/never-alone/?region=All,1,,/games/boxart/default.jpg
